atBatId,outcome,batterHand
1,BB,R
2,LD,R
3,GB,L
4,GB,R
5,LD,L
6,FB,R
7,LD,L
8,LD,R
9,GB,R
10,LD,R
11,LD,R
12,GB,L
13,BB,R
14,BB,R
15,HBP,R
16,GB,L
17,FB,R
18,K,R
19,LD,L
20,GB,R
21,K,R
22,BB,L
23,LD,L
24,BB,R
25,GB,R
26,BB,R
27,K,R
